url_path,views_total,views_unique
/Zubair8899/Princerefregeration-new/tree/main/Zubair8899/Princerefregeration-new,34,1
/Zubair8899/Princerefregeration-new/blob/main/.github/workflows/main.yml,28,1
/Zubair8899/Princerefregeration-new/tree/main/.github/workflows,28,1
/Zubair8899/Princerefregeration-new/edit/main/.github/workflows/main.yml,23,1
/Zubair8899/Princerefregeration-new/actions/workflows/main.yml,21,1
/Zubair8899/Princerefregeration-new/actions,17,1
/Zubair8899/Princerefregeration-new/tree/main/Zubair8899/Princerefregeration-new/latest-report,14,1
/Zubair8899/Princerefregeration-new/tree/github-repo-stats/Zubair8899/Princerefregeration-new,13,1
/Zubair8899/Princerefregeration-new/tree/main,11,1
/Zubair8899/Princerefregeration-new/tree/main/Zubair8899/Princerefregeration-new/latest-report/resources,11,1
